"ID" "title" "wiki links" "imdbLinks"
"Paranormal_Activity:_The_Marked_Ones" "Paranormal Activity: The Marked Ones" "https://en.wikipedia.org/wiki/Paranormal_Activity:_The_Marked_Ones" "https://www.imdb.com/title/tt2473682/"
"Paranormal_Activity_4" "Paranormal Activity 4" "https://en.wikipedia.org/wiki/Paranormal_Activity_4" "https://www.imdb.com/title/tt2109184/"
"Open_Grave" "Open Grave" "https://en.wikipedia.org/wiki/Open_Grave" "https://www.imdb.com/title/tt2071550/"
"Cold_Comes_the_Night" "Cold Comes the Night" "https://en.wikipedia.org/wiki/Cold_Comes_the_Night" "https://www.imdb.com/title/tt2511428/"
"Dumbbells_(film)" "Dumbbells" "https://en.wikipedia.org/wiki/Dumbbells_(film)" "https://www.imdb.com/title/tt1978428/"
"The_Legend_of_Hercules" "The Legend of Hercules" "https://en.wikipedia.org/wiki/The_Legend_of_Hercules" "https://www.imdb.com/title/tt1043726/"
"Raze_(film)" "Raze" "https://en.wikipedia.org/wiki/Raze_(film)" "https://www.imdb.com/title/tt2111392/"
"Back_in_the_Day_(2014_film)" "Back in the Day" "https://en.wikipedia.org/wiki/Back_in_the_Day_(2014_film)" "https://www.imdb.com/title/tt2246887/"
"Devil%27s_Due_(film)" "Devil's Due" "https://en.wikipedia.org/wiki/Devil%27s_Due_(film)" "https://www.imdb.com/title/tt2752758/"
"Jack_Ryan:_Shadow_Recruit" "Jack Ryan: Shadow Recruit" "https://en.wikipedia.org/wiki/Jack_Ryan:_Shadow_Recruit" "https://www.imdb.com/title/tt1205537/"
"Jamesy_Boy" "Jamesy Boy" "https://en.wikipedia.org/wiki/Jamesy_Boy" "https://www.imdb.com/title/tt1673734/"
"The_Nut_Job" "The Nut Job" "https://en.wikipedia.org/wiki/The_Nut_Job" "https://www.imdb.com/title/tt1821658/"
"Ride_Along_(film)" "Ride Along" "https://en.wikipedia.org/wiki/Ride_Along_(film)" "https://www.imdb.com/title/tt1408253/"
"Black_Water_Vampire" "Black Water Vampire" "https://en.wikipedia.org/wiki/Black_Water_Vampire" "https://www.imdb.com/title/tt2853182/"
"I,_Frankenstein" "I, Frankenstein" "https://en.wikipedia.org/wiki/I,_Frankenstein" "https://www.imdb.com/title/tt1418377/"
"Mega_Shark_Versus_Mecha_Shark" "Mega Shark Versus Mecha Shark" "https://en.wikipedia.org/wiki/Mega_Shark_Versus_Mecha_Shark" "https://www.imdb.com/title/tt3152098/"
"Mega_Shark_Versus_Crocosaurus" "Mega Shark Versus Crocosaurus" "https://en.wikipedia.org/wiki/Mega_Shark_Versus_Crocosaurus" "https://www.imdb.com/title/tt1705773/"
"Labor_Day_(film)" "Labor Day" "https://en.wikipedia.org/wiki/Labor_Day_(film)" "https://www.imdb.com/title/tt1967545/"
"That_Awkward_Moment" "That Awkward Moment" "https://en.wikipedia.org/wiki/That_Awkward_Moment" "https://www.imdb.com/title/tt1800246/"
"Somewhere_Slow" "Somewhere Slow" "https://en.wikipedia.org/wiki/Somewhere_Slow" "https://www.imdb.com/title/tt1928338/"
"Android_Cop" "Android Cop" "https://en.wikipedia.org/wiki/Android_Cop" "https://www.imdb.com/title/tt3393070/"
"The_Monuments_Men" "The Monuments Men" "https://en.wikipedia.org/wiki/The_Monuments_Men" "https://www.imdb.com/title/tt2177771/"
"The_Outsider_(2014_film)" "The Outsider" "https://en.wikipedia.org/wiki/The_Outsider_(2014_film)" "https://www.imdb.com/title/tt2198241/"
"Scorned_(2014_film)" "Scorned" "https://en.wikipedia.org/wiki/Scorned_(2014_film)" "https://www.imdb.com/title/tt2293750/"
"After_the_Dark" "After the Dark" "https://en.wikipedia.org/wiki/After_the_Dark" "https://www.imdb.com/title/tt1928340/"
"Nurse_3D" "Nurse 3D" "https://en.wikipedia.org/wiki/Nurse_3D" "https://www.imdb.com/title/tt1913166/"
"The_Pretty_One" "The Pretty One" "https://en.wikipedia.org/wiki/The_Pretty_One" "https://www.imdb.com/title/tt2140577/"
"Vampire_Academy_(film)" "Vampire Academy" "https://en.wikipedia.org/wiki/Vampire_Academy_(film)" "https://www.imdb.com/title/tt1686821/"
"About_Last_Night_(2014_film)" "About Last Night" "https://en.wikipedia.org/wiki/About_Last_Night_(2014_film)" "https://www.imdb.com/title/tt1826590/"
"About_Last_Night_(1986_film)" "film of the same name" "https://en.wikipedia.org/wiki/About_Last_Night_(1986_film)" "https://www.imdb.com/title/tt0090583/"
"Adult_World" "Adult World" "https://en.wikipedia.org/wiki/Adult_World" "https://www.imdb.com/title/tt1067765/"
"Camp_Takota" "Camp Takota" "https://en.wikipedia.org/wiki/Camp_Takota" "https://www.imdb.com/title/tt3097084/"
"Date_and_Switch" "Date and Switch" "https://en.wikipedia.org/wiki/Date_and_Switch" "https://www.imdb.com/title/tt1878942/"
"Endless_Love_(2014_film)" "Endless Love" "https://en.wikipedia.org/wiki/Endless_Love_(2014_film)" "https://www.imdb.com/title/tt2318092/"
"Endless_Love_(1981_film)" "film of the same name" "https://en.wikipedia.org/wiki/Endless_Love_(1981_film)" "https://www.imdb.com/title/tt0082329/"
"RoboCop_(2014_film)" "RoboCop" "https://en.wikipedia.org/wiki/RoboCop_(2014_film)" "https://www.imdb.com/title/tt1234721/"
"Someone_Marry_Barry" "Someone Marry Barry" "https://en.wikipedia.org/wiki/Someone_Marry_Barry" "https://www.imdb.com/title/tt1978532/"
"Apocalypse_Pompeii" "Apocalypse Pompeii" "https://en.wikipedia.org/wiki/Apocalypse_Pompeii" "https://www.imdb.com/title/tt3384904/"
