"ID" "title" "wiki links" "imdbLinks"
"Insidious:_The_Last_Key" "Insidious: The Last Key" "https://en.wikipedia.org/wiki/Insidious:_The_Last_Key" "https://www.imdb.com/title/tt5726086/"
"The_Strange_Ones" "The Strange Ones" "https://en.wikipedia.org/wiki/The_Strange_Ones" "https://www.imdb.com/title/tt6014904/"
"The_Commuter_(film)" "The Commuter" "https://en.wikipedia.org/wiki/The_Commuter_(film)" "https://www.imdb.com/title/tt1590193/"
"Proud_Mary_(film)" "Proud Mary" "https://en.wikipedia.org/wiki/Proud_Mary_(film)" "https://www.imdb.com/title/tt6421110/"
"Acts_of_Violence" "Acts of Violence" "https://en.wikipedia.org/wiki/Acts_of_Violence" "https://www.imdb.com/title/tt6684714/"
"Freak_Show_(film)" "Freak Show" "https://en.wikipedia.org/wiki/Freak_Show_(film)" "https://www.imdb.com/title/tt5089534/"
"Humor_Me_(film)" "Humor Me" "https://en.wikipedia.org/wiki/Humor_Me_(film)" "https://www.imdb.com/title/tt5658242/"
"12_Strong" "12 Strong" "https://en.wikipedia.org/wiki/12_Strong" "https://www.imdb.com/title/tt1413492/"
"Den_of_Thieves_(film)" "Den of Thieves" "https://en.wikipedia.org/wiki/Den_of_Thieves_(film)" "https://www.imdb.com/title/tt1259528/"
"Forever_My_Girl" "Forever My Girl" "https://en.wikipedia.org/wiki/Forever_My_Girl" "https://www.imdb.com/title/tt4103724/"
"Maze_Runner:_The_Death_Cure" "Maze Runner: The Death Cure" "https://en.wikipedia.org/wiki/Maze_Runner:_The_Death_Cure" "https://www.imdb.com/title/tt4500922/"
"The_Insult_(film)" "The Insult" "https://en.wikipedia.org/wiki/The_Insult_(film)" "https://www.imdb.com/title/tt7048622/"
"Please_Stand_By" "Please Stand By" "https://en.wikipedia.org/wiki/Please_Stand_By" "https://www.imdb.com/title/tt4652650/"
"Winchester_(film)" "Winchester" "https://en.wikipedia.org/wiki/Winchester_(film)" "https://www.imdb.com/title/tt1072748/"
"A_Fantastic_Woman" "A Fantastic Woman" "https://en.wikipedia.org/wiki/A_Fantastic_Woman" "https://www.imdb.com/title/tt5639354/"
