"ID" "title" "wiki links" "imdbLinks"
"12/12/12_(film)" "12/12/12" "https://en.wikipedia.org/wiki/12/12/12_(film)" "https://www.imdb.com/title/tt2313780/"
"2-Headed_Shark_Attack" "2-Headed Shark Attack" "https://en.wikipedia.org/wiki/2-Headed_Shark_Attack" "https://www.imdb.com/title/tt2043757/"
"21_Jump_Street_(film)" "21 Jump Street" "https://en.wikipedia.org/wiki/21_Jump_Street_(film)" "https://www.imdb.com/title/tt1232829/"
"28_Hotel_Rooms" "28 Hotel Rooms" "https://en.wikipedia.org/wiki/28_Hotel_Rooms" "https://www.imdb.com/title/tt2124074/"
"3,2,1..._Frankie_Go_Boom" "3,2,1... Frankie Go Boom" "https://en.wikipedia.org/wiki/3,2,1..._Frankie_Go_Boom" "https://www.imdb.com/title/tt1772271/"
"40_Days_and_Nights" "40 Days and Nights" "https://en.wikipedia.org/wiki/40_Days_and_Nights" "https://www.imdb.com/title/tt2439946/"
"The_ABCs_of_Death" "The ABCs of Death" "https://en.wikipedia.org/wiki/The_ABCs_of_Death" "https://www.imdb.com/title/tt1935896/"
"About_Cherry" "About Cherry" "https://en.wikipedia.org/wiki/About_Cherry" "https://www.imdb.com/title/tt1945062/"
"Abraham_Lincoln_vs._Zombies" "Abraham Lincoln vs. Zombies" "https://en.wikipedia.org/wiki/Abraham_Lincoln_vs._Zombies" "https://www.imdb.com/title/tt2246549/"
"Abraham_Lincoln:_Vampire_Hunter" "Abraham Lincoln: Vampire Hunter" "https://en.wikipedia.org/wiki/Abraham_Lincoln:_Vampire_Hunter" "https://www.imdb.com/title/tt1611224/"
"Act_of_Valor" "Act of Valor" "https://en.wikipedia.org/wiki/Act_of_Valor" "https://www.imdb.com/title/tt1591479/"
"After_(2012_film)" "After" "https://en.wikipedia.org/wiki/After_(2012_film)" "https://www.imdb.com/title/tt1799508/"
"The_Aggression_Scale" "The Aggression Scale" "https://en.wikipedia.org/wiki/The_Aggression_Scale" "https://www.imdb.com/title/tt1816597/"
"Air_Collision" "Air Collision" "https://en.wikipedia.org/wiki/Air_Collision" "https://www.imdb.com/title/tt2091229/"
"Alex_Cross_(film)" "Alex Cross" "https://en.wikipedia.org/wiki/Alex_Cross_(film)" "https://www.imdb.com/title/tt1712170/"
"Alien_Origin" "Alien Origin" "https://en.wikipedia.org/wiki/Alien_Origin" "https://www.imdb.com/title/tt2196430/"
"Allegiance_(film)" "Allegiance" "https://en.wikipedia.org/wiki/Allegiance_(film)" "https://www.imdb.com/title/tt1858522/"
"Alter_Egos" "Alter Egos" "https://en.wikipedia.org/wiki/Alter_Egos" "https://www.imdb.com/title/tt1907614/"
"The_Amazing_Adventures_of_the_Living_Corpse" "The Amazing Adventures of the Living Corpse" "https://en.wikipedia.org/wiki/The_Amazing_Adventures_of_the_Living_Corpse" "https://www.imdb.com/title/tt1071809/"
"The_Amazing_Spider-Man_(2012_film)" "The Amazing Spider-Man" "https://en.wikipedia.org/wiki/The_Amazing_Spider-Man_(2012_film)" "https://www.imdb.com/title/tt0948470/"
"American_Reunion" "American Reunion" "https://en.wikipedia.org/wiki/American_Reunion" "https://www.imdb.com/title/tt1605630/"
"American_Wedding" "American Wedding" "https://en.wikipedia.org/wiki/American_Wedding" "https://www.imdb.com/title/tt0328828/"
"Any_Day_Now_(2012_film)" "Any Day Now" "https://en.wikipedia.org/wiki/Any_Day_Now_(2012_film)" "https://www.imdb.com/title/tt2066176/"
"Apostle_Peter_and_the_Last_Supper" "Apostle Peter and the Last Supper" "https://en.wikipedia.org/wiki/Apostle_Peter_and_the_Last_Supper" "https://www.imdb.com/title/tt2065877/"
"The_Apparition" "The Apparition" "https://en.wikipedia.org/wiki/The_Apparition" "https://www.imdb.com/title/tt1433822/"
"Arbitrage_(film)" "Arbitrage" "https://en.wikipedia.org/wiki/Arbitrage_(film)" "https://www.imdb.com/title/tt1764183/"
"Arcadia_(film)" "Arcadia" "https://en.wikipedia.org/wiki/Arcadia_(film)" "https://www.imdb.com/title/tt2056520/"
"Argo_(2012_film)" "Argo" "https://en.wikipedia.org/wiki/Argo_(2012_film)" "https://www.imdb.com/title/tt1024648/"
"Art_Machine" "Art Machine" "https://en.wikipedia.org/wiki/Art_Machine" "https://www.imdb.com/title/tt1753449/"
"Atlas_Shrugged:_Part_II" "Atlas Shrugged: Part II" "https://en.wikipedia.org/wiki/Atlas_Shrugged:_Part_II" "https://www.imdb.com/title/tt1985017/"
"Atlas_Shrugged:_Part_I" "Atlas Shrugged: Part I" "https://en.wikipedia.org/wiki/Atlas_Shrugged:_Part_I" "https://www.imdb.com/title/tt0480239/"
"ATM_(2012_film)" "ATM" "https://en.wikipedia.org/wiki/ATM_(2012_film)" "https://www.imdb.com/title/tt1603257/"
"Atom_the_Amazing_Zombie_Killer" "Atom the Amazing Zombie Killer" "https://en.wikipedia.org/wiki/Atom_the_Amazing_Zombie_Killer" "https://www.imdb.com/title/tt1560765/"
"The_Avengers_(2012_film)" "The Avengers" "https://en.wikipedia.org/wiki/The_Avengers_(2012_film)" "https://www.imdb.com/title/tt0848228/"
"The_Babymakers" "The Babymakers" "https://en.wikipedia.org/wiki/The_Babymakers" "https://www.imdb.com/title/tt0835418/"
"Bachelorette_(film)" "Bachelorette" "https://en.wikipedia.org/wiki/Bachelorette_(film)" "https://www.imdb.com/title/tt1920849/"
"Bad_Ass_(film)" "Bad Ass" "https://en.wikipedia.org/wiki/Bad_Ass_(film)" "https://www.imdb.com/title/tt1928330/"
"Bad_Kids_Go_to_Hell" "Bad Kids Go to Hell" "https://en.wikipedia.org/wiki/Bad_Kids_Go_to_Hell" "https://www.imdb.com/title/tt3349578/"
"Barbie_in_A_Mermaid_Tale_2" "Barbie in A Mermaid Tale 2" "https://en.wikipedia.org/wiki/Barbie_in_A_Mermaid_Tale_2" "https://www.imdb.com/title/tt2197823/"
"Barbie:_The_Princess_and_the_Popstar" "Barbie: The Princess and the Popstar" "https://en.wikipedia.org/wiki/Barbie:_The_Princess_and_the_Popstar" "https://www.imdb.com/title/tt2396690/"
"The_Barrens_(film)" "The Barrens" "https://en.wikipedia.org/wiki/The_Barrens_(film)" "https://www.imdb.com/title/tt2050633/"
"Barricade_(2012_film)" "Barricade" "https://en.wikipedia.org/wiki/Barricade_(2012_film)" "https://www.imdb.com/title/tt1861279/"
"Batman_Revealed" "Batman Revealed" "https://en.wikipedia.org/wiki/Batman_Revealed" "https://www.imdb.com/title/tt1808555/"
"Batman:_The_Dark_Knight_Returns_(film)" "Batman: The Dark Knight Returns" "https://en.wikipedia.org/wiki/Batman:_The_Dark_Knight_Returns_(film)" "https://www.imdb.com/title/tt2313197/"
"The_Battery_(2012_film)" "The Battery" "https://en.wikipedia.org/wiki/The_Battery_(2012_film)" "https://www.imdb.com/title/tt2272350/"
"Battlefield_America" "Battlefield America" "https://en.wikipedia.org/wiki/Battlefield_America" "https://www.imdb.com/title/tt1995260/"
"Battleship_(film)" "Battleship" "https://en.wikipedia.org/wiki/Battleship_(film)" "https://www.imdb.com/title/tt1440129/"
"The_Bay_(film)" "The Bay" "https://en.wikipedia.org/wiki/The_Bay_(film)" "https://www.imdb.com/title/tt1713476/"
"BearCity_2:_The_Proposal" "BearCity 2: The Proposal" "https://en.wikipedia.org/wiki/BearCity_2:_The_Proposal" "https://www.imdb.com/title/tt2005156/"
"BearCity" "BearCity" "https://en.wikipedia.org/wiki/BearCity" "https://www.imdb.com/title/tt1426320/"
"Beasts_of_the_Southern_Wild" "Beasts of the Southern Wild" "https://en.wikipedia.org/wiki/Beasts_of_the_Southern_Wild" "https://www.imdb.com/title/tt2125435/"
"Beauty_and_the_Beast_3D" "Beauty and the Beast 3D" "https://en.wikipedia.org/wiki/Beauty_and_the_Beast_3D" "https://www.imdb.com/title/tt0101414/"
"The_Beauty_Inside_(2012_film)" "The Beauty Inside" "https://en.wikipedia.org/wiki/The_Beauty_Inside_(2012_film)" "https://www.imdb.com/title/tt2340298/"
"Being_Flynn" "Being Flynn" "https://en.wikipedia.org/wiki/Being_Flynn" "https://www.imdb.com/title/tt0455323/"
"Ben_Banks_(film)" "Ben Banks" "https://en.wikipedia.org/wiki/Ben_Banks_(film)" "https://www.imdb.com/title/tt1714828/"
"Bending_the_Rules" "Bending the Rules" "https://en.wikipedia.org/wiki/Bending_the_Rules" "https://www.imdb.com/title/tt1715320/"
"Bernie_(2011_film)" "Bernie" "https://en.wikipedia.org/wiki/Bernie_(2011_film)" "https://www.imdb.com/title/tt1704573/"
"Best_Man_Down" "Best Man Down" "https://en.wikipedia.org/wiki/Best_Man_Down" "https://www.imdb.com/title/tt1885300/"
"Beverly_Hills_Chihuahua_3:_Viva_la_Fiesta!" "Beverly Hills Chihuahua 3: Viva la Fiesta!" "https://en.wikipedia.org/wiki/Beverly_Hills_Chihuahua_3:_Viva_la_Fiesta!" "https://www.imdb.com/title/tt2224075/"
"Beyond_(2012_film)" "Beyond" "https://en.wikipedia.org/wiki/Beyond_(2012_film)" "https://www.imdb.com/title/tt1800671/"
"Big_Miracle" "Big Miracle" "https://en.wikipedia.org/wiki/Big_Miracle" "https://www.imdb.com/title/tt1430615/"
"Big_Top_Scooby-Doo!" "Big Top Scooby-Doo!" "https://en.wikipedia.org/wiki/Big_Top_Scooby-Doo!" "https://www.imdb.com/title/tt2235542/"
"Scooby-Doo!_Music_of_the_Vampire" "Scooby-Doo! Music of the Vampire" "https://en.wikipedia.org/wiki/Scooby-Doo!_Music_of_the_Vampire" "https://www.imdb.com/title/tt2162709/"
"Bill_W._(film)" "Bill W" "https://en.wikipedia.org/wiki/Bill_W._(film)" "https://www.imdb.com/title/tt2275549/"
"Bindlestiffs" "Bindlestiffs" "https://en.wikipedia.org/wiki/Bindlestiffs" "https://www.imdb.com/title/tt2091243/"
"Black_Rock_(2012_film)" "Black Rock" "https://en.wikipedia.org/wiki/Black_Rock_(2012_film)" "https://www.imdb.com/title/tt1930294/"
"Blood_for_Irina" "Blood for Irina" "https://en.wikipedia.org/wiki/Blood_for_Irina" "https://www.imdb.com/title/tt2255976/"
"Border_Run" "Border Run" "https://en.wikipedia.org/wiki/Border_Run" "https://www.imdb.com/title/tt2069955/"
"The_Bourne_Legacy_(film)" "The Bourne Legacy" "https://en.wikipedia.org/wiki/The_Bourne_Legacy_(film)" "https://www.imdb.com/title/tt1194173/"
"The_Bourne_Ultimatum_(film)" "The Bourne Ultimatum" "https://en.wikipedia.org/wiki/The_Bourne_Ultimatum_(film)" "https://www.imdb.com/title/tt0440963/"
